flyer_id,track,symposium,organizer,role_note,affiliation,source_url
019,Biomaterials,Computational Modeling and Machine Learning for Bio-Related and Sustainable Materials,Ning Zhang,,Baylor University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-019.pdf
019,Biomaterials,Computational Modeling and Machine Learning for Bio-Related and Sustainable Materials,Xiang Chen,,University of North Carolina,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-019.pdf
019,Biomaterials,Computational Modeling and Machine Learning for Bio-Related and Sustainable Materials,Zhao Qin,,Syracuse University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-019.pdf
019,Biomaterials,Computational Modeling and Machine Learning for Bio-Related and Sustainable Materials,Kai Li,,Oak Ridge National Laboratory,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-019.pdf
019,Biomaterials,Computational Modeling and Machine Learning for Bio-Related and Sustainable Materials,Kun-Hao Yu,,Syracuse University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-019.pdf
020,Biomaterials,Natural Fibers and Biocomposites,Henry Colorado,,Universidad de Antioquia,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-020.pdf
020,Biomaterials,Natural Fibers and Biocomposites,Felipe Perisse Duarte Lopes,,Universidade Estadual do Norte Fluminense,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-020.pdf
020,Biomaterials,Natural Fibers and Biocomposites,Sergio Neves,,Instituto Militar de Engenharia,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-020.pdf
020,Biomaterials,Natural Fibers and Biocomposites,Marc Meyers,,"University of California, San Diego",https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-020.pdf
020,Biomaterials,Natural Fibers and Biocomposites,Daniel Salazar,,BCMaterials,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-020.pdf
021,Data-Driven and Computational Materials Design,AI-Enabled Materials Processing: Integrating Accelerated Experimental Workflows and Processing-Aware Machine Learning,Sreenivas Raguraman,,Johns Hopkins University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-021.pdf
021,Data-Driven and Computational Materials Design,AI-Enabled Materials Processing: Integrating Accelerated Experimental Workflows and Processing-Aware Machine Learning,Maitreyee Sharma Priyadarshini,,Virginia Tech,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-021.pdf
021,Data-Driven and Computational Materials Design,AI-Enabled Materials Processing: Integrating Accelerated Experimental Workflows and Processing-Aware Machine Learning,Timothy Weihs,,Johns Hopkins University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-021.pdf
021,Data-Driven and Computational Materials Design,AI-Enabled Materials Processing: Integrating Accelerated Experimental Workflows and Processing-Aware Machine Learning,Thomas Voisin,,Lawrence Livermore National Laboratory,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-021.pdf
