tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
C,crutch,0,12,bo,True,40.0,60.0,59.80004687099875,12.0,3.0,708.086960299653,0.00207391533133482,0.9925893722309231
C,crutch,0,13,bo,True,40.0,60.0,40.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,0,14,bo,True,40.0,60.0,80.0,12.0,5.5,736.940140183597,0.0025609826071073235,0.9439703076118791
C,crutch,0,15,bo,True,40.0,60.0,40.0,12.0,5.5,736.940140183597,0.0025609826071073235,0.9439703076118791
C,crutch,0,16,bo,True,40.0,60.0,62.93909956352196,12.0,4.132987127157364,708.0861393799121,0.002663833074924584,0.9856431699230859
C,crutch,0,17,bo,True,40.0,60.0,70.84749508239676,12.0,4.671945378774442,733.0193745696747,0.0026428845108862186,0.9510362691499438
C,crutch,0,18,bo,True,40.0,60.0,57.326673616946614,12.0,3.640653706791139,708.0865344571913,0.0024797958522493027,0.988671381907573
C,crutch,0,19,bo,True,40.0,60.0,40.0,12.0,3.927241675391794,708.0862969675844,0.002626639510600043,0.9867536855473182
C,crutch,0,20,bo,True,40.0,60.0,80.0,10.725895273692958,3.951791231978607,736.7376938640723,0.0022721281767776012,0.9597087699168947
C,crutch,0,21,bo,True,40.0,60.0,40.0,12.0,4.64617512575735,732.9134255308586,0.002658450669020267,0.9511966619419209
C,crutch,0,22,bo,True,40.0,60.0,80.0,12.0,3.237143699001947,708.4838562082518,0.0022622961591133896,0.9905385246679539
C,crutch,0,23,bo,True,40.0,65.68609711139119,80.0,12.0,3.936840074063857,737.1215059931601,0.0019367920730102484,0.9467274915146142
C,crutch,0,24,bo,True,25.0,60.0,48.86060087408,12.0,4.080618758100812,737.8460730286869,0.0011856351398486435,0.9517798616087132
C,crutch,0,25,bo,True,40.0,60.92386546747927,53.59980684076841,12.0,3.2522596110375175,709.6993040270111,0.0021843239480014956,0.9880521072860993
C,crutch,0,26,bo,True,37.27999823520732,60.0,53.19547422981175,12.0,3.9456456893512626,737.0889810492416,0.002219804172766987,0.9495315916418183
C,crutch,0,27,bo,True,39.33901036104587,60.0,40.0,11.798182703895181,3.025032650749618,711.9316383945758,0.002100080753080221,0.9880784884044557
C,crutch,0,28,bo,True,40.0,60.0,40.0,11.731207727295695,3.224486909952417,710.3460308743197,0.002255514350703544,0.9899360862196233
C,crutch,0,29,bo,True,38.39905355309838,60.0,40.0,6.0,3.0,736.2165334874064,0.0009977177370656073,0.9883406348992936
C,crutch,0,30,bo,True,40.0,60.0,40.0,6.532226769533289,4.20467803509383,736.4126591846149,0.0010555975551083036,0.9847668375050811
C,crutch,0,31,bo,True,40.0,60.991518089486455,80.0,11.86884996644958,3.0,711.618639763791,0.002029371264866903,0.9878156417871108
C,crutch,0,32,bo,True,40.0,60.0,40.0,12.0,4.330985484810616,721.4516522325699,0.0026791165863474164,0.9668862184028778
C,crutch,1,0,seed,True,37.5,105.0,60.0,9.0,4.5,738.2643112379784,0.0003457825107002405,0.9586162973152468
C,crutch,1,1,seed,True,25.0,70.0,60.0,6.0,3.0,736.4176283507915,0.00028388944395114826,0.9879324371711578
C,crutch,1,2,seed,True,40.0,110.0,80.0,12.0,5.5,739.1998285361858,0.0006698457843160237,0.9191669289607668
C,crutch,1,3,bo,True,29.01588201522827,78.08772683143616,68.49377632141113,6.186079300940037,4.3571396470069885,736.6601795200867,0.00022310158343528063,0.9852449567835078
C,crutch,1,4,bo,True,38.10163485817611,102.0878179371357,54.2411782592535,10.208712989464402,4.141421245411038,738.3693689425329,0.0005529733584917954,0.9477078460385447
C,crutch,1,5,bo,True,33.65944660734385,71.98334526270628,74.29706420749426,8.826019724830985,3.1144635234959424,736.9874049202735,0.0007314958337851113,0.9728205615208152
